QUESTIONS,POSSIBLE,ANSWER
"A desktop support technician recently installed a new document-scanning software program on a computer. However, when the end user tried to launch the program, it did not respond. Which of the following is MOST likely the cause?",A. A new firewall rule is needed to access the application. B. The system was quarantined for missing software updates. C. The software was not added to the application whitelist. D. The system was isolated from the network due to infected software,C. The software was not added to the application whitelist.
A short list of commonly used passwords tried against large number of user accounts is a characteristic feature of:,A. Replay attack B. Dictionary attack C. Spraying attack D. Birthday attack,C. Spraying attack
What is a PUP? (Select 3 answers),"A. A type of computer program not explicitly classified as malware by AV software. B. An application downloaded and installed without the user's consent (illegal app). C. A type of software that may adversely affect the computer's security and performance, compromise user's privacy, or display unsolicited ads. D. An application downloaded and installed with the user's consent (legal app). E. A type of computer program explicitly classified as malware by AV applications. F. A type of free, utility software often bundled with a paid app.","A. A type of computer program not explicitly classified as malware by AV software. C. A type of software that may adversely affect the computer's security and performance, compromise user's privacy, or display unsolicited ads. D. An application downloaded and installed with the user's consent (legal app)."
A situation in which an application fails to properly release memory allocated to it or continually requests more memory than required is known as:,A. Memory leak B. Buffer overflow C. Race condition D. Integer overflow,A. Memory leak
A trusted third-party storage solution providing backup source for cryptographic keys is referred to as:,A. Key escrow B. TPM C. Recovery agent D. CA,A. Key escrow
SSL stripping is an example of: (Select 2 answers),A. Brute-force attack B. Downgrade attack C. Watering hole attack D. On-path attack E. Denial-of-Service (DoS) attack,"B. Downgrade attack, D. On-path attack"
Which of the following alters the external behavior of an application and at the same time does not introduce any changes to the application's code?,A. Shimming B. Refactoring C. API call D. Sideloading,A. Shimming
The practice of modifying an application's code without changing its external behavior is referred to as:,A. API call B. Refactoring C. Sideloading D. Shimming,B. Refactoring
Which of the following terms refer to software/hardware driver manipulation techniques? (Select 2 answers),A. API call B. Refactoring C. Sideloading D. Shimming,"B. Refactoring, D. Shimming"
A technique that allows an attacker to authenticate to a remote server without extracting cleartext password from a digest is called:,A. Pass the hash B. Replay attack C. Brute-force attack D. Spraying attack,A. Pass the hash
Gaining unauthorized access to a Bluetooth device is referred to as:,A. Phishing B. Bluejacking C. Smishing D. Bluesnarfing,D. Bluesnarfing
The practice of sending unsolicited messages over Bluetooth is known as:,A. SPIM B. Bluejacking C. Vishing D. Bluesnarfing,B. Bluejacking
RFID is vulnerable to:,A. Spoofing B. Eavesdropping C. Data interception D. Replay attacks E. Denial-of-Service (DoS) attacks F. All of the above,F. All of the above
An attack that relies on altering the burned-in address of a NIC to assume the identity of a different network host is known as: (Select 2 answers),A. ARP poisoning B. On-path attack C. MAC spoofing D. Replay attack E. MAC cloning,"C. MAC spoofing, E. MAC cloning"
Which of the following fall(s) into the category of Layer 2 attacks? (Select all that apply),A. MAC cloning B. ARP poisoning C. MAC flooding D. DNS poisoning E. MAC spoofing,"A. MAC cloning, B. ARP poisoning, C. MAC flooding, E. MAC spoofing"
"The term ""Domain hijacking"" refers to a situation in which domain registrants due to unlawful actions of third parties lose control over their domain names.","A. True, B. False",A. True
"Which of the terms listed below refers to a situation in which a product or service may no longer receive security patches or other updates, making it more vulnerable to attack?",A. EOL B. ALM C. EOS  D. SDLC,A. EOL
The practice of installing mobile apps from websites and app stores other than the official marketplaces is referred to as:,A. Jailbreaking B. Rooting C. Sideloading D. Carrier unlocking,C. Sideloading
"The term ""Rooting"" refers to the capability of gaining administrative access to the operating system and system applications on:",A. Android devices B. iOS devices C. Microsoft devices D. All types of mobile devices,A. Android devices
 Which of the answers listed below refer to the characteristic features of bloatware? (Select 3 answers),"A. Pre-installed on a device by the device manufacturer or retailer. B. Generally considered undesirable due to negative impact on system performance. C. Installed without user consent. D. Can be pre-installed, downloaded, or bundled with other software. E. Generally considered undesirable due to negative impact on system performance, privacy, and security.",A. Pre-installed on a device by the device manufacturer or retailer. B. Generally considered undesirable due to negative impact on system performance. C. Installed without user consent.
Which of the following answers refer to the characteristics of a PUP? (Select 3 answers),"A. Often installed without clear user consent. B. Can be pre-installed, downloaded, or bundled with other software. C. Generally considered undesirable due to negative impact on system performance, privacy, and security. D. Pre-installed on a device by the device manufacturer or retailer. E. Generally considered undesirable due to negative impact on system performance.","A. Often installed without clear user consent. B. Can be pre-installed, downloaded, or bundled with other software. C. Generally considered undesirable due to negative impact on system performance, privacy, and security."
Which wireless attack focuses on exploiting vulnerabilities found in WEP?,A. IV attack B. War driving C. SSID spoofing D. Bluejacking,A. IV attack
Which of the following exploits targets a protocol used for managing and accessing networked resources?,A. CSRF/XSRF attack B. XML injection attack C. LDAP injection attack D. SQL injection attack ,C. LDAP injection attack
Which type of exploit targets web applications that generate content used to store and transport data?,A. SQL injection attack B. CSRF/XSRF attack C. XML injection attack D. LDAP injection attack,C. XML injection attack
Which of the following facilitate(s) privilege escalation attacks? (Select all that apply),A. System/application vulnerabilities B. Password hashing C. System/application misconfigurations D. Network segmentation E. Social engineering techniques,A. System/application vulnerabilities C. System/application misconfigurations E. Social engineering techniques
A dot-dot-slash attack is also referred to as:,A. Disassociation attack B. On-path attack C. Directory traversal attack D. Downgrade attack,C. Directory traversal attack
A type of DDoS attack where an attacker exploits vulnerabilities in certain services or protocols to generate responses that are much larger than the original request is referred to as:,A. Amplified DDoS attack B. Volumetric DDoS attack C. Reflected DDoS attack D. Application DDoS attack,A. Amplified DDoS attack
What defines a reflected DDoS attack?,A. Overwhelming the target with a high volume of traffic to saturate its bandwidth. B. Exploiting vulnerabilities in network protocols to consume resources and disrupt services. C. Utilizing third-party servers to reflect and amplify attack traffic towards the target. D. Targeting vulnerabilities in applications or web servers to exhaust resources,C. Utilizing third-party servers to reflect and amplify attack traffic towards the target.
Remapping a domain name to a rogue IP address is an example of what kind of exploit?,A. URL hijacking B. DNS cache poisoning C. Domain hijacking D. ARP poisoning,B. DNS cache poisoning
"What ports are the following protocols: FTP, Telnet, SMTP, SNMP, SCP, TFTP","22, 161, 25,69, 23, 21",FTP: 21 Telnet: 23 SMTP: 25 SNMP: 161 SCP: 22 TFTP: 69
"All protocols encrypted by SSH, including SFTP, SHTTP, SCP, SExec, and slogin, also use TCP port ___. Secure Copy Protocol (SCP) is a secure file-transfer facility based on SSH and Remote Copy Protocol (RCP). Secure FTP (SFTP) is a secured alternative to standard File Transfer Protocol (FTP).",A. 21 B. 25 C. 22 D. 122,C. 22
"______ is known as striping. It is not a fault tolerant solution but does improve disk performance for read/write operations. Striping requires a minimum of two disks and does not use parity. ______ can be used where performance is required over fault tolerance, such as a media streaming server.",A. RAID-0 B. RAID-1 C. RAID-5 D. RAID-6,A. RAID-0
"______ is known as mirroring because the same data is written to two disks so that the two disks have identical data. This is a fault tolerant solution that halves the storage space. A minimum of two disks are used in mirroring and does not use parity. ______ can be used where fault tolerance is required over performance, such as on an authentication server.",A. RAID-0 B. RAID-1 C. RAID-5 D. RAID-6,B. RAID-1
"______ is a fault tolerant solution that uses parity and striping. A minimum of three disks are required for ______ with one disk’s worth of space being used for parity information. However, the parity information is distributed across all the disks. ______ can recover from a sing disk failure.",A. RAID-0 B. RAID-1 C. RAID-5 D. RAID-6,C. RAID-5
______  is a fault tolerant solution that uses dual parity and striping. A minimum of four disks are required for ______. Dual parity allows ______ to recover from the simultaneous failure of up to two disks. Critical data should be stored on a ______ system.,A. RAID-0 B. RAID-1 C. RAID-5 D. RAID-6,D. RAID-6
A forensic analyst is asked to respond to an ongoing network attack on a server. List the correct order in which the forensic analyst should preserve these items.,"RAM, Hard Drive, Swap, CPU cache","1- CPU cache, 2- RAM, 3- Swap, 4- Hard drive"
"A network administrator notices an unusual surge in network traffic, leading to the unavailability of certain services. Upon investigation, it is found that numerous ICMP echo request packets are being sent to the network's broadcast address from a spoofed IP address, causing every device on the network to respond to this address and flood it with traffic. Which type of attack is most likely occurring?",A. Ping of Death B. Smurf Attack C. SYN Flood D. ARP Poisoning,B. Smurf Attack
"A network administrator observes a sudden crash of an older server after it receives an unusually large ICMP packet. This packet exceeds the maximum packet size allowed by the IP protocol, causing a buffer overflow on the server, leading to its failure. Which type of attack is most likely responsible for this scenario?",A. Smurf Attack B. SYN Flood C. Ping of Death D. DNS Amplification,C. Ping of Death
Which of the following policies would help an organization identify and mitigate potential single points of failure in the company’s IT/security operations?,A. Least privilege B. Awareness training C. Separation of duties D. Mandatory vacation,C. Separation of duties
A company processes highly sensitive data and senior management wants to protect the sensitive data by utilizing classification labels. Which of the following access control schemes would be BEST for the company to implement?,A. Discretionary B. Rule-based C. Role-based D. Mandatory,D. Mandatory
A manufacturer creates designs for very high security products that are required to be protected and controlled by the government regulations. These designs are not accessible by corporate networks or the Internet. Which of the following is the BEST solution to protect these designs?,A. An air gap B. A Faraday cage C. A shielded cable D. A demilitarized zone,A. An air gap
Which of the following refers to applications and systems that are used within an organization without consent or approval?,A. Shadow IT B. OSINT C. Dark web D. Insider threats,A. Shadow IT
A Chief Security Officer (CSO) is concerned about the amount of PII that is stored locally on each salesperson’s laptop. The sales department has a higher-than-average rate of the lost equipment. Which of the following recommendations would BEST address the CSO’s concern?,A. Deploy a Best Mobile Device Management (MDM) solution. B. Implement managed Full-disk encryption (FDE) C. Replace all hard drives with self-encrypting drives (SED). D. Install Data loss prevention (DLP) agents on each laptop.,B. Implement managed Full-disk encryption (FDE)
"An employee has been charged with fraud and is suspected of using corporate assets. As authorities collect evidence, and to preserve the admissibility of the evidence, which of the following forensic techniques should be used?",A. Order of volatility B. Data recovery C. Chain of custody D. Non-repudiation,C. Chain of custody
"A commercial cyber-threat intelligence organization observes Indicators of Compromise (IOCs) across a variety of unrelated customers. Prior to releasing specific threat intelligence to other paid subscribers, the organization is MOST likely obligated by contracts to:",A. perform attribution to specific APTs and nation-state actors. B. anonymize any Personally Identifiable Information (PII) that is observed within the IoC data. C. add metadata to track the utilization of threat intelligence reports. D. assist companies with impact assessments based on the observed data.,B. anonymize any Personally Identifiable Information (PII) that is observed within the IoC data.
An organization has implemented a policy requiring the use of conductive metal lockboxes for personal electronic devices outside of a secure research lab. Which of the following did the organization determine to be the GREATEST risk to intellectual property when creating this policy?,A. The theft of portable electronic devices B. Geotagging in the metadata of images C. Bluesnarfing of mobile devices D. Data exfiltration over a mobile hotspot,D. Data exfiltration over a mobile hotspot
In which of the following risk management strategies would cybersecurity insurance be used?,A. Transference B. Avoidance C. Acceptance D. Mitigation,A. Transference
"Derrick logs on to a system in order to read a file. In this example, Derrick is the ______.",A. Subject B. Object C. Process D. Predicate,A. Subject
What is ABAC?,Define this acronym,Attribute-based Access Control: Rights granted through policies that combine attributes together
What is ACL?,Define this acronym,Access Control List: - Set of rules that allow/permit or deny any traffic flow through routers. Looks at the packet to determine whether it should be allowed or denied. Works at layer 3 to provide security by filtering & controlling the flow of traffic from one router to another.
Define this acronym: AH,Define this acronym,"Authentication Header: - Used to authenticate origins of packets of data transmitted. These headers don’t hide any data from attackers, but they do provide proof that the data packets are from a trusted source and that the data hasn’t been tampered with. Helps protect against replay attacks."
Define this acronym: AUP,Define this acronym,"Acceptable Use Policy: Terms that users must accept in order to use a network, system, website, etc."
Define this acronym: BCP,Define this acronym,Business Continuity Planning: Plan used to create processes and systems of both prevention and recovery to deal with threats that a company faces. This plan outlines how a business can continue delivering products and services if crap hits the fan.
Define this acronym: BIA,Define this acronym,Business Impact Analysis: Used to predict the consequences a business would face if there were to be a disruption.
Whats is FDE?,Define this acronym,Full Disk Encryption
